tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1666612451440222209,Nominal run!,en,Retweet,10,3186,294,466,559749,2023-06-08 04:05:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1666616416307646465,"@torybruno Nothing sweeter in rocketry than the word nominal. Congrats to you, Tory, and the whole team!",en,Reply,8,1066,74,96,136401,2023-06-08 04:21:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1661418376038871040,@BlueMoonBrewCo First round is on me.,en,Reply,2,155,16,61,27287,2023-05-24 20:06:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1661329935167033346,@WholeMarsBlog 💯,qme,Reply,12,1417,41,80,72601,2023-05-24 14:14:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1659576309432090625,"Honored to be on this journey with @NASA to land astronauts on the Moon — this time to stay. Together, we’ll be solving the boil-off problem and making LOX-LH2 a storable propellant combination, pushing forward the state of the art for all deep space missions. #Artemis… https://t.co/Y0zDhnp1qX",en,Tweet,161,10857,2006,2103,2311786,2023-05-19 18:06:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Artemis,,photo,https://pbs.twimg.com/media/Fwf_2zraIAEOngj.jpg
1641932374035546112,@blader She likes you too!,en,Reply,2,138,7,106,30753,2023-04-01 01:35:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1633223640110989315,@thetimellis @relativityspace Best of luck tomorrow. Can’t wait to see the whole team succeed!,en,Reply,4,451,35,51,44009,2023-03-07 23:50:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1632574072398704640,@CorySteuben He did.,en,Reply,6,718,14,47,49127,2023-03-06 04:49:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1625224820786094080,Big milestone. Kudos and congrats to the whole Zoox team!,en,Tweet,111,4488,651,2980,1876465,2023-02-13 22:06:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1624863094970400768,@Rainmaker1973 Instrument boom. Evolution is amazing. https://t.co/MjfRaXjnMJ,en,Reply,3,241,20,68,52842,2023-02-12 22:08:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/FoysX0MaMAAzEiQ.jpg
1620466730572349442,Episode 3 of Last of Us is unbelievably good story telling. I am in awe of @Nick_Offerman performance. Incredible.,en,Tweet,400,30271,1359,2368,8697371,2023-01-31 18:59:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1619418820984340481,Thank you Bill and Tim. So nice. Gratitude.,en,Tweet,217,2719,194,964,2128762,2023-01-28 21:35:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1612952776933543936,We crave experts for the new thing but almost all experts are expert in the old thing.,en,Retweet,82,1954,357,447,726658,2023-01-11 01:21:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1606892394896822272,@trevken Same to you 🎄,en,Reply,2,61,4,68,17395,2022-12-25 07:59:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
