id,time,url,tweet,replies,retweets,quotes,likes
8.26807e+17,2017-02-01 14:57:00,https://twitter.com/JoeBiden/status/826806724006965248,We cannot yield an inch on all the progress we have made on civil rights and human rights.,286,5227,204,16087
8.26807e+17,2017-02-01 14:57:00,https://twitter.com/JoeBiden/status/826806641370791936,"Now more than ever, we must work hard to preserve everyone's shot at the American Dream. Today Jill &amp; I are proud to launch @BidenFoundation",364,5484,309,23446
8.26829e+17,2017-02-01 16:25:00,https://twitter.com/JoeBiden/status/826828864009678850,From fighting cancer to changing the culture on domestic violence â weâre just getting started. Join us: https://t.co/QHaFokMnrZ,482,2365,171,8522
8.27284e+17,2017-02-02 22:33:00,https://twitter.com/JoeBiden/status/827283937000951808,"Our tolerance and diversity make America great. We are safer and stronger when we welcome the brightest, best and bravest with open arms. https://t.co/axggT3DRiZ",431,5040,230,21066
8.28415e+17,2017-02-06 01:29:00,https://twitter.com/JoeBiden/status/828415338886942721,Incredible performance from my friend @LadyGaga. You amaze me â and not just onstage. Proud to work with you to end sexual assault. #ItsOnUs https://t.co/ZOva2lpAOZ,1077,35798,2023,149876
8.35617e+17,2017-02-25 22:25:00,https://twitter.com/JoeBiden/status/835616819780202496,Congratulations @TomPerez - You will help ensure our party continues to fight for economic fairness and for all to be treated with dignity.,257,1805,51,12708
8.39532e+17,2017-03-08 17:44:00,https://twitter.com/JoeBiden/status/839532297212870656,"Standing up for women is the cause of my life. We must change our culture to end violence against women #IWD2017
https://t.co/0t5nS9eGEW",270,2754,200,13883
8.41063e+17,2017-03-12 23:05:00,https://twitter.com/JoeBiden/status/841062645990072321,Jill and I were honored to take the stage today at #SxSW. Join us in seizing the urgency of now to end cancer as we know it. https://t.co/TemXB9baJQ,179,1701,117,9945
8.41063e+17,2017-03-12 23:06:00,https://twitter.com/JoeBiden/status/841062972378226688,This fight is personal for Jill and me.  Itâs personal for almost every American.,104,595,28,4518
8.41063e+17,2017-03-12 23:08:00,https://twitter.com/JoeBiden/status/841063269586612227,"Today at #SxSW, weâre laying out how weâll harness the momentum of the past year to make real progress. https://t.co/9nWDw27hhm",37,413,9,2094
8.42733e+17,2017-03-17 13:41:00,https://twitter.com/JoeBiden/status/842732706823917570,"Like many other Irish Americans, Iâm proud of my Irish heritage and of my familyâs contributions to our nation.",65,483,31,4409
8.42733e+17,2017-03-17 13:41:00,https://twitter.com/JoeBiden/status/842732625446010880,"Last year I had the privilege of walking down the streets my great-great grandfather once walked, in County Louth, Ireland. https://t.co/GsvB7DPCXk",125,556,43,8417
8.42733e+17,2017-03-17 13:42:00,https://twitter.com/JoeBiden/status/842732867767746560,Jill and I -- and the whole Biden family -- wish everyone a very safe and happy St. Patrickâs Day.,185,474,32,5417
8.44987e+17,2017-03-23 18:58:00,https://twitter.com/JoeBiden/status/844986666351656961,Checks &amp; balances? Chair of cmte investigating WH can't share info w/ WH. McCain is right: Need select committee!,945,13012,549,36267
8.4542e+17,2017-03-24 23:38:00,https://twitter.com/JoeBiden/status/845419697646551041,Every American who worries about getting health care when they get sick can breathe a sigh of relief today.,1025,9652,415,44068
8.46739e+17,2017-03-28 15:03:00,https://twitter.com/JoeBiden/status/846739492568514560,The correct word for sex without consent is rape. Period. #ItsOnUs to know the signs and to stop it. https://t.co/yGBRIKiHod,397,16284,1011,30074
